"id","SFirstName","SLastName","espnID","backgroundPicture","youtube1","youtube2","twitter","picture1","picture2"
"129","Ricky","Rubio","4011","rickyrubio.jpg","KBevyRqn4mU","CNdzyj6rnJI","https://twitter.com/rickyrubio9",,
"130","Nikola","Mirotic","6459","mirotic.jpg","ft7gZXCUqmY","kvERMFa9FOM","https://twitter.com/threekola",,
"131","Jerryd","Bayless","3417","bayless.jpg","75-09b8Ngvw","lB56ni4N1bM","https://twitter.com/jerrydbayless",,
"132","Norris","Cole","6431","norris-cole-vs-raps.jpg","ksecqE8kdUA","4TjAjMZz7_o","https://twitter.com/pg30_cole?lang=en",,
"133","Trey","Burke","2579260","treyburke.jpg","nNSKTzj5t08","hOn7e66V7Ow","https://twitter.com/treyburke?lang=en",,
"134","Myles","Turner","3133628","myles-turner-reacts-0107.jpg","cwtuhKslpZM","Vu1W32KD3_U","https://twitter.com/Original_Turner",,
"135","Ersan","Ilyasova","2767","ersan.jpg","jM5EvcBwSwU","SOvVYbOe7hE","https://twitter.com/ersova7?lang=en",,
"136","Jared","Sullinger","6624","jared-sullinger.jpg","HEQLnxRBtbg","c_T1CbGYl7c","https://twitter.com/Jared_Sully0",,
"137","Mario","Chalmers","3419","chalmers.jpg","pDvbTrE8VBo","oxFz0kJ0j7Y","https://twitter.com/mchalmers15?lang=en",,
"138","Allen","Crabbe","2531210","crabbe.jpg","sOSdfyOF4G4","8EyGECRm6PA","https://twitter.com/allencrabbe?lang=en",,
"139","Marco","Belinelli","3190","Marco-Belinelli-Spurs.jpg","5TqYwlv4h9w","9Fw0H4TvS2M","https://twitter.com/marcobelinelli?lang=en",,
"140","J.J.","Barea","3055","barea.jpg","3W_Z_8UH-qE","eRQPbQaQEn8","https://twitter.com/jjbareapr?lang=en",,
"141","Evan","Turner","4239","evanturner.jpg","AyAq19dBuPo","IchJGMBl-WA","https://twitter.com/thekidet",,
"142","Robin","Lopez","3447","robinlopez.jpg","LVWRWRlKoCA","011vQXENoIA","https://twitter.com/rolopez42?lang=en",,
"143","Gorgui","Dieng","2534781","dieng.jpg","BlOjMv-XGx8","gzyr-SZPMbg","https://twitter.com/GorguiDieng",,
"144","Kelly","Olynyk","2489663","olynyk.jpg","FL2aqEYEflE","FwesuQPebAs","https://twitter.com/kellyolynyk?lang=en",,
"145","Jordan","Farmar","3002","farmarlrg.jpg","ipkzk1_mXWQ","d9aUle_PI-I","https://twitter.com/jrfarmar?lang=en",,
"146","Nikola","Jokic","3112335","Jokic.jpg","4YP_Qkd-Ne0","ELD1qHoCIOk","https://twitter.com/njokic15?lang=en",,
"147","Al-Farouq","Aminu","4248","aminu.jpg","wWEfVrvs7Y4","_21YspHuJJY","https://twitter.com/farouq1?lang=en",,
"148","Shabazz","Muhammad","2993875","shabazz.jpg","DpX7ktCCBJo","MxqosO1SqtU","https://twitter.com/shabazzmuhammad?lang=en",,
"149","Courtney","Lee","3445","Courtney-Lee-927.jpg","EHaM_RzNd0s","oKdqwr9_OUQ","https://twitter.com/courtneylee5?lang=en",,
"150","Marcus","Thornton","4017","marcusthornton.jpg","eEwVoRXn1nI","pbD5c7BKGoo","https://twitter.com/M3Thornton",,
"151","Gary","Neal","4300","garyneal.jpg","QlT_ZfOMpXY","Ao3zFsSi91Y","https://twitter.com/spurs",,
"152","Matt","Barnes","1765","mattbarnes.jpg","PHhZnGDA9fY","oyafxuz3cks","https://twitter.com/Matt_Barnes22",,
"153","Hollis","Thompson","6634","hollisthompson.jpg","hTwqfqgNdbw","jEqbvp0HWfw","https://twitter.com/htdahot_twitta?lang=en",,
"154","Kevin","Martin","2394","kevinmartin.jpg","erIAabX0pVA","a3Ko8o93i0Q","https://twitter.com/realkevinmartin?lang=en",,
"155","Dion","Waiters","6628","dionwaiters.jpg","c83ufGmcxqc","IEYSeF92NUA","https://twitter.com/dionwaiters3?lang=en",,
"156","Sean","Kilpatrick","2488689","seankilpatrick.jpg","RO-sKI3NWLk","K8Wx2sYtkMg","https://twitter.com/seankilpatrick?lang=en",,
"157","Patrick","Beverley","3964","patrick-beverly.jpg","s_Yth4RCOLk","k4LLYSuNiEA","https://twitter.com/patbev21?lang=en",,
"158","Manu","Ginobili","272","manu-ginobili.jpg","AJUhzQEPCvE","PcqgOihr-k8","https://twitter.com/manuginobili",,
"159","Doug","McDermott","2528588","mcdermott.jpg","Jok7Y_YIkdQ","6GGctIljHMM","https://twitter.com/dougmcdermott?lang=en",,
"160","Ramon","Sessions","3231","sessions.jpg","zgyxgZgqgJw","O5N6uWehFtM","https://twitter.com/ramonssessions?lang=en",,
